,segment,label,speaker,start,end
315,[ 00:02:24.745 -->  00:02:24.813],BM,SPEAKER_00,1224.75,1224.81
316,[ 00:02:25.814 -->  00:02:25.831],BN,SPEAKER_02,1225.81,1225.83
317,[ 00:02:25.831 -->  00:02:26.069],BO,SPEAKER_01,1225.83,1226.07
318,[ 00:02:28.225 -->  00:02:34.371],BP,SPEAKER_01,1228.23,1234.37
319,[ 00:02:34.779 -->  00:02:35.033],BQ,SPEAKER_02,1234.78,1235.03
320,[ 00:02:35.033 -->  00:02:35.067],BR,SPEAKER_01,1235.03,1235.07
321,[ 00:02:35.322 -->  00:03:15.220],BS,SPEAKER_01,1235.32,1275.22
322,[ 00:02:42.130 -->  00:02:42.521],BT,SPEAKER_02,1242.13,1242.52
323,[ 00:03:15.577 -->  00:03:20.042],BU,SPEAKER_03,1275.58,1280.04
324,[ 00:03:16.612 -->  00:03:17.122],BV,SPEAKER_01,1276.61,1277.12
325,[ 00:03:17.122 -->  00:03:17.139],BW,SPEAKER_00,1277.12,1277.14
326,[ 00:03:20.466 -->  00:03:22.487],BX,SPEAKER_03,1280.47,1282.49
327,[ 00:03:23.404 -->  00:03:23.743],BY,SPEAKER_00,1283.4,1283.74
328,[ 00:03:23.947 -->  00:03:25.594],BZ,SPEAKER_00,1283.95,1285.59
329,[ 00:03:25.390 -->  00:03:26.714],CA,SPEAKER_03,1285.39,1286.71
330,[ 00:03:26.307 -->  00:03:30.466],CB,SPEAKER_02,1286.31,1290.47
331,[ 00:03:26.714 -->  00:03:27.122],CC,SPEAKER_00,1286.71,1287.12
332,[ 00:03:27.122 -->  00:03:27.920],CD,SPEAKER_03,1287.12,1287.92
333,[ 00:03:29.244 -->  00:03:39.804],CE,SPEAKER_00,1289.24,1299.8
334,[ 00:03:38.887 -->  00:03:54.983],CF,SPEAKER_03,1298.89,1314.98
335,[ 00:03:55.441 -->  00:03:55.458],CG,SPEAKER_02,1315.44,1323.54
336,[ 00:04:03.539 -->  00:04:03.658],CK,SPEAKER_00,1323.54,1323.66
337,[ 00:04:03.862 -->  00:04:03.998],CL,SPEAKER_00,1323.86,1324.0
338,[ 00:04:03.998 -->  00:04:04.083],CM,SPEAKER_01,1324.0,1324.08
339,[ 00:04:04.083 -->  00:04:04.117],CN,SPEAKER_00,1324.08,1324.12
340,[ 00:04:05.865 -->  00:04:12.911],CO,SPEAKER_01,1325.87,1332.91
341,[ 00:04:11.706 -->  00:04:18.870],CP,SPEAKER_02,1331.71,1338.87
342,[ 00:04:15.254 -->  00:04:15.577],CQ,SPEAKER_01,1335.25,1335.58
343,[ 00:04:19.244 -->  00:04:26.867],CR,SPEAKER_01,1339.24,1346.87
344,[ 00:04:19.838 -->  00:04:20.331],CS,SPEAKER_02,1339.84,1340.37
345,[ 00:04:22.724 -->  00:04:25.000],CU,SPEAKER_02,1342.72,1345.0
346,[ 00:04:25.000 -->  00:04:25.084],CV,SPEAKER_03,1345.0,1345.08
347,[ 00:04:26.239 -->  00:04:36.324],CW,SPEAKER_03,1346.24,1356.32
348,[ 00:04:37.461 -->  00:04:51.247],CX,SPEAKER_00,1357.46,1371.25
349,[ 00:04:40.993 -->  00:04:44.626],CY,SPEAKER_03,1360.99,1364.63
350,[ 00:04:50.704 -->  00:05:00.110],CZ,SPEAKER_03,1370.7,1380.11
351,[ 00:04:51.994 -->  00:04:52.351],DA,SPEAKER_00,1371.99,1372.35
352,[ 00:04:59.923 -->  00:05:17.971],DB,SPEAKER_00,1379.92,1397.97
353,[ 00:05:01.774 -->  00:05:02.809],DC,SPEAKER_03,1381.77,1382.81
354,[ 00:05:16.595 -->  00:05:16.986],DD,SPEAKER_02,1396.6,1396.99
355,[ 00:05:17.173 -->  00:05:25.000],DE,SPEAKER_02,1397.17,1405.0
356,[ 00:05:24.541 -->  00:05:24.609],DF,SPEAKER_03,1404.54,1404.61
357,[ 00:05:25.000 -->  00:05:44.032],DG,SPEAKER_03,1405.0,1424.03
358,[ 00:05:28.005 -->  00:05:29.702],DH,SPEAKER_02,1408.01,1409.7
359,[ 00:05:45.831 -->  00:05:47.003],DI,SPEAKER_02,1425.83,1426.88
360,[ 00:05:47.003 -->  00:05:59.991],DK,SPEAKER_02,1427.0,1427.21
361,[ 00:05:57.427 -->  00:05:57.682],DM,SPEAKER_02,1437.43,1437.68
362,[ 00:00:00.008 -->  00:00:09.601],A,SPEAKER_02,1440.01,1449.6
363,[ 00:00:10.398 -->  00:00:10.806],B,SPEAKER_02,1450.4,1450.81
364,[ 00:00:13.064 -->  00:00:19.719],C,SPEAKER_00,1453.06,1459.72
365,[ 00:00:15.882 -->  00:00:15.899],D,SPEAKER_02,1455.88,1455.9
366,[ 00:00:20.857 -->  00:00:23.573],E,SPEAKER_00,1460.86,1472.83
367,[ 00:00:26.884 -->  00:00:28.378],G,SPEAKER_01,1466.88,1468.38
368,[ 00:00:33.964 -->  00:00:35.509],H,SPEAKER_00,1473.96,1475.51
369,[ 00:00:35.814 -->  00:00:37.546],I,SPEAKER_00,1475.81,1477.55
370,[ 00:00:37.903 -->  00:00:40.263],J,SPEAKER_00,1477.9,1480.26
371,[ 00:00:40.789 -->  00:00:45.424],K,SPEAKER_00,1480.79,1485.42
372,[ 00:00:44.643 -->  00:01:19.074],L,SPEAKER_01,1484.64,1519.07
373,[ 00:00:47.801 -->  00:00:48.259],M,SPEAKER_00,1487.8,1488.26
374,[ 00:00:50.908 -->  00:00:51.281],N,SPEAKER_00,1490.91,1491.28
375,[ 00:00:54.151 -->  00:00:54.643],O,SPEAKER_00,1494.15,1494.64
376,[ 00:00:58.225 -->  00:00:58.548],P,SPEAKER_00,1498.23,1498.55
377,[ 00:00:58.548 -->  00:00:58.565],Q,SPEAKER_02,1498.55,1498.57
378,[ 00:01:04.337 -->  00:01:04.371],R,SPEAKER_00,1504.34,1504.37
379,[ 00:01:04.371 -->  00:01:04.388],S,SPEAKER_02,1504.37,1504.39
380,[ 00:01:04.388 -->  00:01:04.473],T,SPEAKER_00,1504.39,1504.47
381,[ 00:01:10.789 -->  00:01:11.095],U,SPEAKER_00,1510.79,1511.1
382,[ 00:01:19.804 -->  00:01:20.602],V,SPEAKER_00,1519.8,1520.6
383,[ 00:01:21.061 -->  00:01:33.947],W,SPEAKER_01,1521.06,1533.95
384,[ 00:01:34.303 -->  00:01:39.448],X,SPEAKER_00,1534.3,1539.45
385,[ 00:01:36.120 -->  00:01:37.750],Y,SPEAKER_01,1536.12,1537.75
386,[ 00:01:37.954 -->  00:01:47.224],Z,SPEAKER_01,1537.95,1547.22
387,[ 00:01:48.039 -->  00:01:50.161],AA,SPEAKER_01,1548.04,1550.16
388,[ 00:01:50.466 -->  00:01:50.483],AB,SPEAKER_01,1550.47,1550.48
389,[ 00:01:50.483 -->  00:01:53.913],AC,SPEAKER_03,1550.48,1553.91
390,[ 00:01:54.066 -->  00:01:54.779],AD,SPEAKER_03,1554.07,1554.78
391,[ 00:01:55.526 -->  00:01:58.056],AE,SPEAKER_03,1555.53,1558.06
392,[ 00:01:59.142 -->  00:02:01.485],AF,SPEAKER_03,1559.14,1561.49
393,[ 00:02:01.943 -->  00:02:10.195],AG,SPEAKER_01,1561.94,1570.2
394,[ 00:02:04.371 -->  00:02:05.237],AH,SPEAKER_03,1564.37,1565.24
395,[ 00:02:05.237 -->  00:02:06.001],AI,SPEAKER_00,1565.24,1566.0
396,[ 00:02:10.891 -->  00:02:23.064],AJ,SPEAKER_03,1570.89,1583.06
397,[ 00:02:22.011 -->  00:02:33.794],AK,SPEAKER_01,1582.01,1593.79
398,[ 00:02:23.319 -->  00:02:23.353],AL,SPEAKER_03,1583.32,1583.35
399,[ 00:02:32.758 -->  00:02:32.945],AM,SPEAKER_03,1592.76,1592.95
400,[ 00:02:34.168 -->  00:02:38.904],AN,SPEAKER_03,1594.17,1598.9
401,[ 00:02:34.762 -->  00:02:37.648],AO,SPEAKER_02,1594.76,1597.65
402,[ 00:02:38.904 -->  00:02:41.910],AP,SPEAKER_02,1598.9,1601.91
403,[ 00:02:42.164 -->  00:02:48.667],AQ,SPEAKER_02,1602.16,1608.67
404,[ 00:02:47.156 -->  00:02:54.337],AR,SPEAKER_01,1607.16,1614.34
405,[ 00:02:52.538 -->  00:03:01.400],AS,SPEAKER_03,1612.54,1621.4
406,[ 00:02:54.456 -->  00:02:54.507],AT,SPEAKER_01,1614.46,1614.51
407,[ 00:02:59.210 -->  00:03:17.852],AU,SPEAKER_01,1619.21,1637.85
408,[ 00:03:05.950 -->  00:03:06.052],AV,SPEAKER_03,1625.95,1626.82
409,[ 00:03:06.816 -->  00:03:06.850],AX,SPEAKER_00,1626.82,1626.85
410,[ 00:03:13.930 -->  00:03:14.032],AY,SPEAKER_03,1633.93,1634.03
411,[ 00:03:14.032 -->  00:03:14.219],AZ,SPEAKER_00,1634.03,1634.22
412,[ 00:03:14.219 -->  00:03:14.303],BA,SPEAKER_03,1634.22,1634.3
413,[ 00:03:14.303 -->  00:03:14.422],BB,SPEAKER_02,1634.3,1634.42
414,[ 00:03:14.422 -->  00:03:14.558],BC,SPEAKER_03,1634.42,1634.56
415,[ 00:03:18.225 -->  00:03:24.422],BD,SPEAKER_00,1638.23,1644.42
416,[ 00:03:23.421 -->  00:03:24.066],BE,SPEAKER_01,1643.42,1644.07
417,[ 00:03:24.066 -->  00:03:24.083],BF,SPEAKER_03,1644.07,1644.08
418,[ 00:03:24.083 -->  00:03:24.286],BG,SPEAKER_01,1644.08,1644.29
419,[ 00:03:24.286 -->  00:03:32.062],BH,SPEAKER_03,1644.29,1652.06
420,[ 00:03:32.266 -->  00:03:34.507],BI,SPEAKER_00,1652.27,1654.51
421,[ 00:03:34.966 -->  00:04:08.803],BJ,SPEAKER_00,1654.97,1688.8
422,[ 00:03:45.000 -->  00:03:47.937],BK,SPEAKER_03,1665.0,1667.94
423,[ 00:03:47.937 -->  00:03:48.157],BL,SPEAKER_01,1667.94,1668.16
424,[ 00:03:48.582 -->  00:03:48.684],BM,SPEAKER_01,1668.58,1668.68
425,[ 00:03:48.684 -->  00:03:49.006],BN,SPEAKER_03,1668.68,1669.01
426,[ 00:03:49.006 -->  00:03:49.159],BO,SPEAKER_01,1669.01,1669.16
427,[ 00:03:58.039 -->  00:03:58.446],BP,SPEAKER_03,1678.04,1678.45
428,[ 00:03:58.446 -->  00:03:59.991],BQ,SPEAKER_02,1678.45,1679.99
429,[ 00:03:59.991 -->  00:04:00.008],BR,SPEAKER_01,1679.99,1680.01
430,[ 00:04:00.008 -->  00:04:02.028],BS,SPEAKER_02,1680.01,1682.03
431,[ 00:04:10.449 -->  00:04:14.524],BT,SPEAKER_00,1690.45,1694.52
432,[ 00:04:12.894 -->  00:04:16.765],BU,SPEAKER_01,1692.89,1696.77
433,[ 00:04:15.882 -->  00:04:21.027],BV,SPEAKER_00,1695.88,1701.03
434,[ 00:04:21.213 -->  00:04:24.524],BW,SPEAKER_02,1701.21,1704.52
435,[ 00:04:22.130 -->  00:04:22.589],BX,SPEAKER_00,1702.13,1702.64
436,[ 00:04:22.657 -->  00:04:22.843],BZ,SPEAKER_01,1702.66,1702.84
437,[ 00:04:25.016 -->  00:04:34.337],CA,SPEAKER_00,1705.02,1714.34
438,[ 00:04:33.064 -->  00:04:49.176],CB,SPEAKER_03,1713.06,1729.18
439,[ 00:04:35.509 -->  00:04:36.154],CC,SPEAKER_00,1715.51,1716.15
440,[ 00:04:50.840 -->  00:05:02.928],CD,SPEAKER_01,1730.84,1742.93
441,[ 00:04:52.283 -->  00:04:53.709],CE,SPEAKER_03,1732.28,1733.71
442,[ 00:04:58.870 -->  00:04:59.380],CF,SPEAKER_02,1738.87,1739.74
443,[ 00:05:02.606 -->  00:05:11.655],CJ,SPEAKER_02,1742.61,1751.66
444,[ 00:05:09.159 -->  00:05:09.380],CK,SPEAKER_00,1749.16,1749.38
445,[ 00:05:09.380 -->  00:05:09.397],CL,SPEAKER_01,1749.38,1749.4
446,[ 00:05:12.979 -->  00:05:15.577],CM,SPEAKER_00,1752.98,1755.58
447,[ 00:05:14.711 -->  00:05:21.723],CN,SPEAKER_01,1754.71,1761.72
448,[ 00:05:22.266 -->  00:05:23.709],CO,SPEAKER_01,1762.27,1763.71
449,[ 00:05:26.714 -->  00:05:29.278],CP,SPEAKER_02,1766.71,1769.28
450,[ 00:05:29.974 -->  00:05:31.706],CQ,SPEAKER_01,1769.97,1771.71
451,[ 00:05:31.655 -->  00:05:42.181],CR,SPEAKER_02,1771.66,1782.18
452,[ 00:05:41.213 -->  00:05:45.390],CS,SPEAKER_01,1781.21,1785.39
453,[ 00:05:42.826 -->  00:05:42.962],CT,SPEAKER_02,1782.83,1782.96
454,[ 00:05:43.692 -->  00:05:44.134],CU,SPEAKER_02,1783.69,1784.13
455,[ 00:05:44.796 -->  00:05:56.799],CV,SPEAKER_00,1784.8,1796.8
456,[ 00:05:57.071 -->  00:05:59.617],CW,SPEAKER_03,1797.07,1799.62
457,[ 00:05:57.699 -->  00:05:59.991],CX,SPEAKER_00,1797.7,1809.24
458,[ 00:00:02.113 -->  00:00:03.149],B,SPEAKER_01,1802.11,1803.15
459,[ 00:00:09.057 -->  00:00:10.178],C,SPEAKER_01,1809.06,1810.18
460,[ 00:00:09.889 -->  00:00:16.884],D,SPEAKER_00,1809.89,1816.88
461,[ 00:00:17.156 -->  00:00:19.991],E,SPEAKER_00,1817.16,1819.99
462,[ 00:00:20.229 -->  00:00:33.913],F,SPEAKER_00,1820.23,1833.91
463,[ 00:00:34.626 -->  00:00:37.054],G,SPEAKER_00,1834.63,1837.05
464,[ 00:00:37.393 -->  00:00:40.551],H,SPEAKER_00,1837.39,1840.55
465,[ 00:00:41.264 -->  00:00:43.285],I,SPEAKER_00,1841.26,1843.29
466,[ 00:00:43.573 -->  00:00:51.281],J,SPEAKER_00,1843.57,1851.28
467,[ 00:00:50.365 -->  00:00:54.320],K,SPEAKER_03,1850.37,1854.32
468,[ 00:00:51.994 -->  00:00:52.096],L,SPEAKER_00,1851.99,1852.1
469,[ 00:00:53.217 -->  00:00:54.235],M,SPEAKER_02,1853.22,1857.19
470,[ 00:00:57.699 -->  00:01:10.144],O,SPEAKER_02,1857.7,1870.14
471,[ 00:01:00.365 -->  00:01:00.500],P,SPEAKER_00,1860.37,1860.5
472,[ 00:01:10.874 -->  00:01:11.213],Q,SPEAKER_02,1870.87,1871.21
473,[ 00:01:11.502 -->  00:01:29.125],R,SPEAKER_02,1871.5,1889.13
474,[ 00:01:29.125 -->  00:01:32.606],S,SPEAKER_03,1889.13,1892.61
475,[ 00:01:30.348 -->  00:01:35.186],T,SPEAKER_02,1890.35,1895.19
476,[ 00:01:32.606 -->  00:01:32.758],U,SPEAKER_01,1892.61,1892.79
477,[ 00:01:33.285 -->  00:01:33.641],W,SPEAKER_03,1893.29,1893.64
478,[ 00:01:33.641 -->  00:01:44.371],X,SPEAKER_01,1893.64,1904.37
479,[ 00:01:35.186 -->  00:01:35.390],Y,SPEAKER_03,1895.19,1895.48
480,[ 00:01:35.475 -->  00:01:35.696],AA,SPEAKER_02,1895.48,1895.7
481,[ 00:01:35.696 -->  00:01:36.222],AB,SPEAKER_03,1895.7,1896.22
482,[ 00:01:37.801 -->  00:01:39.991],AC,SPEAKER_03,1897.8,1899.99
483,[ 00:01:39.991 -->  00:01:40.993],AD,SPEAKER_02,1899.99,1900.99
484,[ 00:01:40.993 -->  00:01:41.349],AE,SPEAKER_00,1900.99,1901.35
485,[ 00:01:45.288 -->  00:01:47.003],AF,SPEAKER_01,1905.29,1907.0
486,[ 00:01:45.950 -->  00:01:46.086],AG,SPEAKER_02,1905.95,1906.09
487,[ 00:01:46.850 -->  00:01:46.935],AH,SPEAKER_02,1906.85,1907.11
488,[ 00:01:47.105 -->  00:01:47.139],AJ,SPEAKER_01,1907.11,1907.14
489,[ 00:01:47.139 -->  00:01:52.860],AK,SPEAKER_02,1907.14,1912.86
490,[ 00:01:47.359 -->  00:01:47.954],AL,SPEAKER_01,1907.36,1907.95
491,[ 00:01:52.436 -->  00:02:00.161],AM,SPEAKER_01,1912.44,1920.16
492,[ 00:01:54.354 -->  00:01:54.643],AN,SPEAKER_02,1914.35,1914.64
493,[ 00:01:54.643 -->  00:01:55.560],AO,SPEAKER_00,1914.64,1915.56
494,[ 00:02:00.823 -->  00:02:08.565],AP,SPEAKER_01,1920.82,1928.57
495,[ 00:02:01.281 -->  00:02:01.366],AQ,SPEAKER_00,1921.28,1921.37
496,[ 00:02:01.366 -->  00:02:01.417],AR,SPEAKER_03,1921.37,1921.42
497,[ 00:02:01.417 -->  00:02:01.672],AS,SPEAKER_00,1921.42,1921.67
498,[ 00:02:01.672 -->  00:02:01.740],AT,SPEAKER_03,1921.67,1921.74
499,[ 00:02:02.911 -->  00:02:03.777],AU,SPEAKER_03,1922.91,1923.78
500,[ 00:02:05.933 -->  00:02:24.575],AV,SPEAKER_03,1925.93,1944.58
501,[ 00:02:17.478 -->  00:02:17.801],AW,SPEAKER_00,1937.48,1937.8
502,[ 00:02:17.801 -->  00:02:17.835],AX,SPEAKER_01,1937.8,1937.84
503,[ 00:02:22.911 -->  00:02:32.775],AY,SPEAKER_00,1942.91,1952.78
504,[ 00:02:28.463 -->  00:02:31.298],AZ,SPEAKER_03,1948.46,1951.3
505,[ 00:02:31.298 -->  00:02:31.638],BA,SPEAKER_01,1951.3,1951.64
506,[ 00:02:31.638 -->  00:02:40.925],BB,SPEAKER_03,1951.64,1960.93
507,[ 00:02:32.775 -->  00:02:33.098],BC,SPEAKER_01,1952.78,1953.1
508,[ 00:02:33.098 -->  00:02:33.149],BD,SPEAKER_00,1953.1,1953.15
509,[ 00:02:33.149 -->  00:02:33.251],BE,SPEAKER_01,1953.15,1953.25
510,[ 00:02:34.439 -->  00:02:34.694],BF,SPEAKER_01,1954.44,1954.69
511,[ 00:02:39.499 -->  00:02:46.528],BG,SPEAKER_01,1959.5,1966.53
512,[ 00:02:43.047 -->  00:02:44.015],BH,SPEAKER_03,1963.05,1964.02
513,[ 00:02:45.441 -->  00:02:57.546],BI,SPEAKER_03,1965.44,1977.55
514,[ 00:02:57.835 -->  00:02:57.886],BJ,SPEAKER_00,1977.84,1977.89
515,[ 00:02:58.429 -->  00:03:00.857],BK,SPEAKER_00,1978.43,1991.57
516,[ 00:03:13.166 -->  00:03:18.904],BM,SPEAKER_00,1993.17,1998.9
517,[ 00:03:19.940 -->  00:03:28.684],BN,SPEAKER_00,1999.94,2008.68
518,[ 00:03:29.465 -->  00:03:31.129],BO,SPEAKER_00,2009.47,2011.13
519,[ 00:03:31.842 -->  00:03:34.677],BP,SPEAKER_00,2011.84,2014.68
520,[ 00:03:35.577 -->  00:03:36.816],BQ,SPEAKER_00,2015.58,2016.82
521,[ 00:03:37.088 -->  00:03:39.312],BR,SPEAKER_00,2017.09,2019.31
522,[ 00:03:40.602 -->  00:03:41.349],BS,SPEAKER_00,2020.6,2021.35
523,[ 00:03:41.740 -->  00:03:49.855],BT,SPEAKER_00,2021.74,2029.86
524,[ 00:03:50.263 -->  00:04:03.641],BU,SPEAKER_00,2030.26,2043.64
525,[ 00:03:57.937 -->  00:03:59.499],BV,SPEAKER_02,2037.94,2039.5
526,[ 00:04:03.879 -->  00:04:13.539],BW,SPEAKER_00,2043.88,2053.54
527,[ 00:04:13.879 -->  00:04:19.685],BX,SPEAKER_00,2053.88,2059.69
528,[ 00:04:20.144 -->  00:04:20.670],BY,SPEAKER_00,2060.14,2060.67
529,[ 00:04:21.451 -->  00:04:23.692],BZ,SPEAKER_00,2061.45,2063.69
530,[ 00:04:22.334 -->  00:04:23.132],CA,SPEAKER_01,2062.33,2063.13
531,[ 00:04:23.132 -->  00:04:23.251],CB,SPEAKER_02,2063.13,2063.25
532,[ 00:04:23.251 -->  00:04:23.319],CC,SPEAKER_01,2063.25,2063.32
533,[ 00:04:23.692 -->  00:04:23.913],CD,SPEAKER_01,2063.69,2063.91
534,[ 00:04:26.086 -->  00:04:27.852],CE,SPEAKER_02,2066.09,2067.85
535,[ 00:04:27.988 -->  00:04:28.005],CF,SPEAKER_02,2067.99,2068.01
